model_id,brand,family,model_name,category,price,launch_date,generation,successor_model_id,successor_launch_date,lifecycle_stage
MOD045,Motorola,Edge,Motorola Edge 3,Upper-mid,38000,2025-12-09,3,,,Late-Life
MOD046,OnePlus,Number,OnePlus Number 1,Premium,50000,2025-04-06,1,MOD047,2025-10-31,Post-Successor
MOD047,OnePlus,Number,OnePlus Number 2,Premium,52000,2025-10-31,2,MOD048,2026-01-15,Post-Successor
MOD048,OnePlus,Number,OnePlus Number 3,Premium,54000,2026-01-15,3,,,Late-Life
MOD049,Nothing,Phone,Nothing Phone 1,Premium,42000,2025-03-11,1,MOD050,2025-08-28,Post-Successor
MOD050,Nothing,Phone,Nothing Phone 2,Premium,43500,2025-08-28,2,MOD051,2026-02-14,Post-Successor
MOD051,Nothing,Phone,Nothing Phone 3,Premium,45500,2026-02-14,3,,,Mature
MOD052,Samsung,Galaxy S,Samsung Galaxy S 1,Flagship,85000,2025-03-11,1,MOD053,2025-11-05,Post-Successor
MOD053,Samsung,Galaxy S,Samsung Galaxy S 2,Flagship,88500,2025-11-05,2,MOD054,2026-02-19,Post-Successor
MOD054,Samsung,Galaxy S,Samsung Galaxy S 3,Flagship,92000,2026-02-19,3,,,Mature
MOD055,Samsung,Galaxy Z,Samsung Galaxy Z 1,Flagship,120000,2025-05-17,1,MOD056,2025-10-13,Post-Successor
MOD056,Samsung,Galaxy Z,Samsung Galaxy Z 2,Flagship,125000,2025-10-13,2,MOD057,2026-01-18,Post-Successor
MOD057,Samsung,Galaxy Z,Samsung Galaxy Z 3,Flagship,129500,2026-01-18,3,,,Late-Life
MOD058,Apple,iPhone,Apple iPhone 1,Flagship,95000,2025-03-30,1,MOD059,2025-09-06,Post-Successor
MOD059,Apple,iPhone,Apple iPhone 2,Flagship,99000,2025-09-06,2,MOD060,2025-12-18,Post-Successor
MOD060,Apple,iPhone,Apple iPhone 3,Flagship,102500,2025-12-18,3,,,Late-Life
